state,state_breweries,state_Brewpub,state_Microbrewery,state_RegionalBrewery,state_ContractBrewery,state_MultitapBar,state_BOP_BrewOnPremise,GEO_ID
California,284,184,77,8,11,2,2,0400000US06
Nevada,18,14,3,0,1,0,0,0400000US32
Wyoming,8,6,2,0,0,0,0,0400000US56
Alabama,6,2,2,0,2,0,0,0400000US01
Connecticut,11,7,4,0,0,0,0,0400000US09
Iowa,13,10,3,0,0,0,0,0400000US19
Missouri,21,10,10,0,1,0,0,0400000US29
Nebraska,15,11,3,0,1,0,0,0400000US31
Arizona,34,21,12,0,1,0,0,0400000US04
Arkansas,7,6,1,0,0,0,0,0400000US05
Colorado,182,100,61,2,19,0,0,0400000US08
Delaware,14,7,4,2,1,0,0,0400000US10
Florida,99,69,19,2,8,0,1,0400000US12
Georgia,47,27,14,1,5,0,0,0400000US13
Idaho,28,15,13,0,0,0,0,0400000US16
Illinois,74,48,16,1,8,0,1,0400000US17
Indiana,31,20,10,0,1,0,0,0400000US18
Kansas,26,19,6,0,1,0,0,0400000US20
Kentucky,12,6,5,0,1,0,0,0400000US21
Louisiana,15,4,8,0,3,0,0,0400000US22
Maine,44,24,20,0,0,0,0,0400000US23
Maryland,43,26,11,1,4,0,1,0400000US24
Massachusetts,71,33,30,1,7,0,0,0400000US25
Michigan,94,55,29,1,9,0,0,0400000US26
Minnesota,40,24,8,2,6,0,0,0400000US27
Montana,32,7,23,1,1,0,0,0400000US30
New Hampshire,18,10,6,1,1,0,0,0400000US33
New Jersey,41,21,15,0,5,0,0,0400000US34
New Mexico,37,25,11,0,1,0,0,0400000US35
New York,107,56,39,3,9,0,0,0400000US36
North Carolina,61,26,33,0,2,0,0,0400000US37
North Dakota,5,4,0,0,1,0,0,0400000US38
Ohio,56,31,18,2,5,0,0,0400000US39
Oklahoma,16,8,6,0,2,0,0,0400000US40
Oregon,156,119,33,1,2,0,1,0400000US41
Pennsylvania,107,65,26,3,12,0,1,0400000US42
Rhode Island,12,4,8,0,0,0,0,0400000US44
South Carolina,32,21,9,0,2,0,0,0400000US45
South Dakota,11,8,3,0,0,0,0,0400000US46
Tennessee,28,22,4,0,2,0,0,0400000US47
Texas,90,54,30,1,5,0,0,0400000US48
Utah,21,17,1,2,1,0,0,0400000US49
Vermont,28,13,12,3,0,0,0,0400000US50
Virginia,43,28,13,0,1,0,1,0400000US51
Washington,151,82,66,1,2,0,0,0400000US53
West Virginia,5,4,0,0,1,0,0,0400000US54
Wisconsin,77,44,27,4,2,0,0,0400000US55
Mississippi,0,0,0,0,0,0,0,0400000US28
United States,2371,1417,754,43,147,2,8,0400000US00