State,DrugsDrinking,Eat,Nothing,Other,TalkToFriends,Workout
New Mexico,0.12,0.18,0.12,0.23,0.21,0.13
Rhode Island,0.1,0.22,0.13,0.17,0.19,0.19
West Virginia,0.11,0.25,0.23,0.12,0.2,0.08
Indiana,0.07,0.19,0.16,0.18,0.25,0.15
Wisconsin,0.1,0.21,0.15,0.15,0.26,0.14
Michigan,0.12,0.2,0.17,0.16,0.22,0.13
Ohio,0.09,0.23,0.17,0.16,0.23,0.12
Iowa,0.12,0.23,0.17,0.14,0.23,0.1
Vermont,0.13,0.21,0.14,0.13,0.28,0.1
Virginia,0.11,0.19,0.18,0.16,0.23,0.13
Utah,0.12,0.16,0.16,0.17,0.25,0.15
Oregon,0.1,0.18,0.18,0.15,0.24,0.15
Illinois,0.11,0.2,0.16,0.15,0.22,0.15
Maine,0.13,0.21,0.18,0.14,0.22,0.13
Minnesota,0.09,0.25,0.13,0.17,0.23,0.14
Kentucky,0.11,0.17,0.2,0.18,0.22,0.13
(not set),0.1,0.22,0.17,0.16,0.22,0.13
Nebraska,0.11,0.19,0.16,0.16,0.22,0.16
Colorado,0.13,0.19,0.15,0.15,0.2,0.17
Montana,0.17,0.23,0.18,0.12,0.16,0.14
New Hampshire,0.11,0.22,0.17,0.14,0.23,0.13
Missouri,0.1,0.21,0.16,0.18,0.22,0.13
Nevada,0.11,0.19,0.12,0.15,0.26,0.16
Tennessee,0.12,0.17,0.17,0.18,0.23,0.13
Arkansas,0.09,0.21,0.17,0.15,0.24,0.14
Kansas,0.13,0.19,0.2,0.13,0.2,0.14
New York,0.1,0.21,0.16,0.17,0.22,0.13
Idaho,0.1,0.2,0.18,0.16,0.2,0.16
Washington,0.12,0.17,0.19,0.14,0.21,0.17
California,0.14,0.19,0.15,0.16,0.23,0.14
Oklahoma,0.1,0.2,0.2,0.16,0.18,0.16
Pennsylvania,0.09,0.21,0.19,0.15,0.23,0.12
Texas,0.11,0.18,0.17,0.16,0.22,0.15
Alabama,0.11,0.16,0.21,0.14,0.23,0.15
South Dakota,0.13,0.22,0.12,0.21,0.22,0.09
Arizona,0.12,0.18,0.15,0.15,0.21,0.19
North Carolina,0.09,0.18,0.16,0.16,0.24,0.16
Wyoming,0.17,0.21,0.16,0.18,0.16,0.11
South Carolina,0.09,0.25,0.14,0.13,0.23,0.15
Louisiana,0.11,0.2,0.16,0.16,0.21,0.15
North Dakota,0.1,0.22,0.21,0.12,0.16,0.18
Mississippi,0.08,0.2,0.19,0.2,0.22,0.11
Massachusetts,0.09,0.17,0.16,0.19,0.24,0.14
Alaska,0.06,0.16,0.22,0.22,0.15,0.19
New Jersey,0.11,0.21,0.16,0.16,0.21,0.16
Georgia,0.11,0.21,0.16,0.15,0.23,0.14
Connecticut,0.09,0.17,0.16,0.12,0.3,0.15
Hawaii,0.08,0.25,0.08,0.08,0.08,0.42
District of Columbia,0.11,0.22,0.2,0.14,0.2,0.13
Florida,0.11,0.18,0.17,0.15,0.23,0.16
Delaware,0.05,0.25,0.15,0.05,0.4,0.1
Maryland,0.09,0.2,0.21,0.16,0.24,0.11